Date,Close,lag_1_price,lag_1_log_return,lag_7_price,lag_7_log_return,lag_14_price,lag_14_log_return
2005-01-04,23200.0,,,,,,
2005-01-05,23200.0,23200.0,0.0,,,,
2005-01-06,23200.0,23200.0,0.0,,,,
2005-01-07,23200.0,23200.0,0.0,,,,
2005-01-10,23200.0,,,,,,
2005-01-11,23204.0,23200.0,0.00017239893155357209,23200.0,0.00017239893155357209,,
2005-01-12,23200.0,23204.0,-0.00017239893155367644,23200.0,0.0,,
2005-01-13,23200.0,23200.0,0.0,23200.0,0.0,,
2005-01-14,23200.0,23200.0,0.0,23200.0,0.0,,
2005-01-18,23200.0,,,23204.0,-0.00017239893155367644,23200.0,0.0
2005-01-19,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-01-20,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-01-21,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-01-24,23200.0,,,,,23200.0,0.0
2005-01-25,23200.0,23200.0,0.0,23200.0,0.0,23204.0,-0.00017239893155367644
2005-01-26,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-01-27,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-01-28,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-01-31,23200.0,,,23200.0,0.0,,
2005-02-01,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-02-02,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-02-03,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-02-04,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-02-16,23200.0,,,,,23200.0,0.0
2005-02-17,23200.0,23200.0,0.0,,,23200.0,0.0
2005-02-18,23200.0,23200.0,0.0,,,23200.0,0.0
2005-02-21,23200.0,,,,,,
2005-02-22,23200.0,23200.0,0.0,,,,
2005-02-23,23200.0,23200.0,0.0,23200.0,0.0,,
2005-02-24,23200.0,23200.0,0.0,23200.0,0.0,,
2005-02-25,23200.0,23200.0,0.0,23200.0,0.0,,
2005-02-28,23200.0,,,23200.0,0.0,,
2005-03-01,23200.0,23200.0,0.0,23200.0,0.0,,
2005-03-02,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-03-03,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-03-04,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-03-07,23200.0,,,23200.0,0.0,23200.0,0.0
2005-03-08,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-03-09,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-03-10,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-03-11,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-03-14,23200.0,,,23200.0,0.0,23200.0,0.0
2005-03-15,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-03-16,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-03-17,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-03-18,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-03-21,23200.0,,,23200.0,0.0,23200.0,0.0
2005-03-22,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-03-23,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-03-24,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-03-25,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-03-28,23200.0,,,23200.0,0.0,23200.0,0.0
2005-03-29,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-03-30,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-03-31,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-04-01,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-04-04,23200.0,,,23200.0,0.0,23200.0,0.0
2005-04-05,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-04-06,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-04-07,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-04-08,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-04-11,23200.0,,,23200.0,0.0,23200.0,0.0
2005-04-12,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-04-13,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-04-14,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-04-15,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-04-18,23200.0,,,23200.0,0.0,23200.0,0.0
2005-04-19,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-04-20,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-04-21,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-04-22,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-04-25,23200.0,,,23200.0,0.0,23200.0,0.0
2005-04-26,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-04-27,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-04-28,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-04-29,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-05-09,23200.0,,,,,23200.0,0.0
2005-05-10,23200.0,23200.0,0.0,,,23200.0,0.0
2005-05-11,23200.0,23200.0,0.0,,,23200.0,0.0
2005-05-12,23200.0,23200.0,0.0,,,23200.0,0.0
2005-05-13,23200.0,23200.0,0.0,,,23200.0,0.0
2005-05-16,23200.0,,,23200.0,0.0,,
2005-05-17,23200.0,23200.0,0.0,23200.0,0.0,,
2005-05-18,23200.0,23200.0,0.0,23200.0,0.0,,
2005-05-19,23200.0,23200.0,0.0,23200.0,0.0,,
2005-05-20,23200.0,23200.0,0.0,23200.0,0.0,,
2005-05-23,23200.0,,,23200.0,0.0,23200.0,0.0
2005-05-24,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-05-25,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-05-26,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-05-27,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-05-30,23200.0,,,23200.0,0.0,23200.0,0.0
2005-05-31,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-06-01,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-06-02,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-06-03,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-06-06,23200.0,,,23200.0,0.0,23200.0,0.0
2005-06-07,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-06-08,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-06-09,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-06-13,23200.0,,,23200.0,0.0,23200.0,0.0
2005-06-14,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-06-15,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-06-16,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-06-17,23200.0,23200.0,0.0,,,23200.0,0.0
2005-06-20,23200.0,,,23200.0,0.0,23200.0,0.0
2005-06-21,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-06-23,23200.0,,,23200.0,0.0,23200.0,0.0
2005-06-24,23200.0,23200.0,0.0,23200.0,0.0,,
2005-06-27,23200.0,,,23200.0,0.0,23200.0,0.0
2005-06-28,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-06-29,23200.0,23200.0,0.0,,,23200.0,0.0
2005-06-30,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-07-01,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-07-04,23200.0,,,23200.0,0.0,23200.0,0.0
2005-07-05,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-07-06,23200.0,23200.0,0.0,23200.0,0.0,,
2005-07-07,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-07-08,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-07-11,23200.0,,,23200.0,0.0,23200.0,0.0
2005-07-12,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-07-13,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-07-14,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-07-15,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-07-18,23200.0,,,23200.0,0.0,23200.0,0.0
2005-07-19,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-07-20,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-07-28,23200.0,,,,,23200.0,0.0
2005-07-29,23200.0,23200.0,0.0,,,23200.0,0.0
2005-08-01,23200.0,,,,,23200.0,0.0
2005-08-02,23200.0,23200.0,0.0,,,23200.0,0.0
2005-08-03,23200.0,23200.0,0.0,,,23200.0,0.0
2005-08-04,23200.0,23200.0,0.0,23200.0,0.0,,
2005-08-05,23200.0,23200.0,0.0,23200.0,0.0,,
2005-08-08,23200.0,,,23200.0,0.0,,
2005-08-09,23200.0,23200.0,0.0,23200.0,0.0,,
2005-08-10,23200.0,23200.0,0.0,23200.0,0.0,,
2005-08-11,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-08-12,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-08-15,23200.0,,,23200.0,0.0,23200.0,0.0
2005-08-16,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-08-17,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-08-18,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-08-19,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-08-22,23200.0,,,23200.0,0.0,23200.0,0.0
2005-08-23,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-08-24,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-08-25,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-08-26,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-08-29,23200.0,,,23200.0,0.0,23200.0,0.0
2005-08-30,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-08-31,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-09-01,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-09-02,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-09-05,23200.0,,,23200.0,0.0,23200.0,0.0
2005-09-06,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-09-07,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-09-08,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-09-09,23200.0,23200.0,0.0,23200.0,0.0,23200.0,0.0
2005-09-12,23200.0,,,23200.0,0.0,23200.0,0.0
